1 2 9 1981 1 16 8 16 8 4 6 120000 2 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 4 281 -4 -4 -4 17 34500 -4 -4
2 1 7 1982 1 17 15 14 15 2 4 98928 2 1 4 116000 2 0 4 188857 1 0 4 180000 1 0 2 -4 -4 -4 -4 20 32500 52000 -4
3 2 9 1983 1 -3 12 -4 12 2 -5 -5 -5 -5 6 -3 3 2 6 -3 3 2 6 75000 3 1 4 426 -4 -4 -4 20 -3 -3 -4
4 2 2 1981 1 12 12 -4 12 2 4 85000 1 1 4 45000 2 1 4 -3 2 1 4 -3 2 1 2 -4 -4 -4 -4 20 -3 8250 86000
5 1 10 1982 1 12 12 12 12 2 3 210000 3 1 3 212000 3 1 3 -3 3 1 3 240000 3 1 2 -4 -4 -4 -4 20 445000 600000 -4
6 2 1 1982 1 -3 12 -4 12 2 4 37500 3 1 4 55000 3 1 4 67000 3 1 4 65000 3 1 2 -4 -4 -4 -4 20 5000 7500 -4
7 1 4 1983 1 -3 12 -4 12 2 2 2600 3 1 -5 -5 -5 -5 2 -3 7 1 -5 -5 -5 -5 1 -4 -4 -4 -4 19 600 3000 -4
8 2 6 1981 1 6 12 6 12 4 7 115000 2 1 -5 -5 -5 -5 7 100000 3 -4 7 90000 4 -4 5 282 -4 -4 355 20 -17500 442500 471500
9 1 10 1982 1 6 12 6 12 4 7 157000 3 1 7 159000 3 1 7 150000 3 1 7 130514 3 1 5 305 -4 -4 377 20 -30000 -12500 -4
10 1 3 1984 1 6 12 6 12 4 -5 -5 -5 -5 6 175000 3 1 6 263000 3 1 6 599728 3 0 4 293 -4 -4 -4 20 -66000 -50500 -4
11 2 6 1982 1 12 14 -4 14 2 6 36000 3 1 6 77000 3 1 6 76000 3 1 6 93000 3 1 4 432 -4 -4 -4 20 -25000 -3 -4
12 1 10 1981 1 -3 12 12 12 2 4 68000 2 1 10 138000 1 1 4 170000 1 1 4 167000 1 1 1 -4 -4 -4 -4 20 91300 -3 28200
13 1 11 1984 1 -3 6 -4 6 2 2 -3 2 1 2 35000 2 1 2 24000 2 1 -5 -5 -5 -5 1 -4 -4 -4 -4 19 -3 7500 -4
14 1 7 1980 1 12 12 12 12 2 2 17500 2 1 2 33000 2 1 -5 -5 -5 -5 2 0 2 1 1 -4 -4 -4 -4 20 17500 2500 50
15 2 1 1983 1 13 12 13 12 2 -5 -5 -5 -5 -5 -5 -5 -5 4 100000 1 1 -5 -5 -5 -5 2 -4 -4 -4 -4 19 -4 -3 -4
16 1 2 1982 1 10 11 -4 11 2 5 -3 2 1 11 45000 2 1 10 0 2 1 5 100000 2 1 3 -4 -4 -4 -4 20 7500 -60900 -4
17 2 11 1981 1 -3 14 10 14 2 -5 -5 -5 -5 -5 -5 -5 -5 9 38000 2 1 -5 -5 -5 -5 1 -4 -4 -4 -4 19 -4 1000 -4
18 1 2 1982 1 10 15 -4 15 1 4 28000 2 1 4 55000 2 1 4 -3 2 1 4 0 2 1 1 -4 -4 -4 -4 20 37500 7500 -4
19 1 4 1984 1 10 15 -4 15 1 3 37500 2 1 3 0 2 1 3 112000 2 1 3 85500 2 1 -3 -4 -4 -4 -4 20 2500 41500 -4
20 1 12 1980 1 10 11 -4 11 1 2 -3 1 1 2 80000 6 1 -5 -5 -5 -5 -5 -5 -5 -5 1 -4 -4 -4 -4 18 0 7500 -4
21 1 8 1982 1 11 13 -4 13 2 4 38000 1 1 4 30000 1 1 4 -3 1 1 4 30000 1 1 1 -4 -4 -4 -4 20 0 2500 -4
22 1 6 1982 1 12 11 -4 11 2 4 152000 8 1 4 75000 8 1 4 52000 8 1 4 65000 8 1 2 -4 -4 -4 -4 20 36500 37500 -4
23 2 1 1983 1 10 10 -4 10 2 10 -3 8 1 10 155000 7 1 6 151000 3 1 6 165326 3 1 4 461 -4 -4 -4 20 -31500 -3 -4
24 1 6 1984 1 5 7 13 7 2 1 -3 1 1 1 -3 1 1 -5 -5 -5 -5 1 0 3 1 0 -4 -4 -4 -4 20 2500 -3 -4
25 2 3 1983 1 12 12 12 12 2 2 37500 3 1 2 37500 3 1 2 17500 3 1 2 0 3 1 1 -4 -4 -4 -4 20 7500 -4500 -4
